condition_id,split,signed_setpoint_torque_nm,absolute_setpoint_speed_rpm,setpoint_temperature_deg_c,inside_training_axis_box,nearest_standardized_training_distance,supported_distance_threshold,support_tier,prediction_finite
speed_1800rpm__torque_1300Nm__temperature_25degC,train,-1300.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1300Nm__temperature_30degC,train,-1300.0,1800.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1400Nm__temperature_25degC,train,-1400.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1400Nm__temperature_30degC,train,-1400.0,1800.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1500Nm__temperature_25degC,train,-1500.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1500Nm__temperature_30degC,train,-1500.0,1800.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1500Nm__temperature_35degC,train,-1500.0,1800.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1600Nm__temperature_25degC,train,-1600.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1600Nm__temperature_30degC,train,-1600.0,1800.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1600Nm__temperature_35degC,train,-1600.0,1800.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1700Nm__temperature_25degC,train,-1700.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1700Nm__temperature_35degC,train,-1700.0,1800.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1800Nm__temperature_25degC,train,-1800.0,1800.0,25.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1800Nm__temperature_30degC,train,-1800.0,1800.0,30.0,True,0.0,0.18692370374898815,supported_core,True
speed_1800rpm__torque_1800Nm__temperature_35degC,train,-1800.0,1800.0,35.0,True,0.0,0.18692370374898815,supported_core,True
speed_100rpm__torque_0Nm__temperature_30degC,validation,-0.0,100.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_100rpm__torque_500Nm__temperature_30degC,validation,-500.0,100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_600Nm__temperature_25degC,validation,-600.0,100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_800Nm__temperature_25degC,validation,-800.0,100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_800Nm__temperature_35degC,validation,-800.0,100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_900Nm__temperature_30degC,validation,-900.0,100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_1100Nm__temperature_25degC,validation,-1100.0,100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_1200Nm__temperature_35degC,validation,-1200.0,100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_1600Nm__temperature_30degC,validation,-1600.0,100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_1600Nm__temperature_35degC,validation,-1600.0,100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_100rpm__torque_1700Nm__temperature_35degC,validation,-1700.0,100.0,35.0,True,0.26144524667839836,0.18692370374898815,supported_sparse_or_corner,True
speed_100rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,100.0,35.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_200rpm__torque_600Nm__temperature_30degC,validation,-600.0,200.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_200rpm__torque_700Nm__temperature_30degC,validation,-700.0,200.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_200rpm__torque_900Nm__temperature_30degC,validation,-900.0,200.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_200rpm__torque_1000Nm__temperature_30degC,validation,-1000.0,200.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_200rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,200.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_200rpm__torque_1700Nm__temperature_35degC,validation,-1700.0,200.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_300rpm__torque_500Nm__temperature_25degC,validation,-500.0,300.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_300rpm__torque_1100Nm__temperature_25degC,validation,-1100.0,300.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_300rpm__torque_1100Nm__temperature_30degC,validation,-1100.0,300.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_300rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,300.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_300rpm__torque_1200Nm__temperature_25degC,validation,-1200.0,300.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_300rpm__torque_1400Nm__temperature_30degC,validation,-1400.0,300.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_0Nm__temperature_35degC,validation,-0.0,400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_100Nm__temperature_25degC,validation,-100.0,400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_200Nm__temperature_25degC,validation,-200.0,400.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_400rpm__torque_200Nm__temperature_30degC,validation,-200.0,400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_400Nm__temperature_30degC,validation,-400.0,400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_400Nm__temperature_35degC,validation,-400.0,400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_500Nm__temperature_35degC,validation,-500.0,400.0,35.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_400rpm__torque_600Nm__temperature_25degC,validation,-600.0,400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_900Nm__temperature_25degC,validation,-900.0,400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_900Nm__temperature_35degC,validation,-900.0,400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_1000Nm__temperature_30degC,validation,-1000.0,400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_1300Nm__temperature_30degC,validation,-1300.0,400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_400rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_0Nm__temperature_30degC,validation,-0.0,500.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_500rpm__torque_100Nm__temperature_25degC,validation,-100.0,500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_100Nm__temperature_30degC,validation,-100.0,500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_200Nm__temperature_35degC,validation,-200.0,500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_400Nm__temperature_30degC,validation,-400.0,500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_600Nm__temperature_30degC,validation,-600.0,500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_700Nm__temperature_35degC,validation,-700.0,500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_1100Nm__temperature_30degC,validation,-1100.0,500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_500rpm__torque_1800Nm__temperature_25degC,validation,-1800.0,500.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_600rpm__torque_0Nm__temperature_35degC,validation,-0.0,600.0,35.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_600rpm__torque_400Nm__temperature_30degC,validation,-400.0,600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_400Nm__temperature_35degC,validation,-400.0,600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_800Nm__temperature_35degC,validation,-800.0,600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1100Nm__temperature_25degC,validation,-1100.0,600.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1300Nm__temperature_35degC,validation,-1300.0,600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,600.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1400Nm__temperature_35degC,validation,-1400.0,600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1500Nm__temperature_25degC,validation,-1500.0,600.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_600rpm__torque_1600Nm__temperature_30degC,validation,-1600.0,600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_400Nm__temperature_25degC,validation,-400.0,700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_400Nm__temperature_30degC,validation,-400.0,700.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_500Nm__temperature_30degC,validation,-500.0,700.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_700rpm__torque_600Nm__temperature_25degC,validation,-600.0,700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_600Nm__temperature_30degC,validation,-600.0,700.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_900Nm__temperature_25degC,validation,-900.0,700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_1000Nm__temperature_35degC,validation,-1000.0,700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_1600Nm__temperature_30degC,validation,-1600.0,700.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_1700Nm__temperature_25degC,validation,-1700.0,700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_700rpm__torque_1800Nm__temperature_25degC,validation,-1800.0,700.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_700rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_200Nm__temperature_30degC,validation,-200.0,800.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_400Nm__temperature_25degC,validation,-400.0,800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_600Nm__temperature_35degC,validation,-600.0,800.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_700Nm__temperature_30degC,validation,-700.0,800.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_800Nm__temperature_25degC,validation,-800.0,800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_900Nm__temperature_30degC,validation,-900.0,800.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_900Nm__temperature_35degC,validation,-900.0,800.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,800.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1200Nm__temperature_25degC,validation,-1200.0,800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1500Nm__temperature_25degC,validation,-1500.0,800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1600Nm__temperature_25degC,validation,-1600.0,800.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_800rpm__torque_1700Nm__temperature_25degC,validation,-1700.0,800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1700Nm__temperature_30degC,validation,-1700.0,800.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_800rpm__torque_1800Nm__temperature_30degC,validation,-1800.0,800.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_900rpm__torque_200Nm__temperature_30degC,validation,-200.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_300Nm__temperature_30degC,validation,-300.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_300Nm__temperature_35degC,validation,-300.0,900.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_500Nm__temperature_25degC,validation,-500.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_800Nm__temperature_30degC,validation,-800.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_900Nm__temperature_25degC,validation,-900.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1000Nm__temperature_30degC,validation,-1000.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1100Nm__temperature_25degC,validation,-1100.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1200Nm__temperature_35degC,validation,-1200.0,900.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1300Nm__temperature_25degC,validation,-1300.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1400Nm__temperature_30degC,validation,-1400.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1500Nm__temperature_30degC,validation,-1500.0,900.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1600Nm__temperature_25degC,validation,-1600.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1600Nm__temperature_35degC,validation,-1600.0,900.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_900rpm__torque_1700Nm__temperature_25degC,validation,-1700.0,900.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_0Nm__temperature_25degC,validation,-0.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_300Nm__temperature_25degC,validation,-300.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_300Nm__temperature_30degC,validation,-300.0,1000.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_600Nm__temperature_25degC,validation,-600.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_700Nm__temperature_35degC,validation,-700.0,1000.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_800Nm__temperature_25degC,validation,-800.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_800Nm__temperature_30degC,validation,-800.0,1000.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_800Nm__temperature_35degC,validation,-800.0,1000.0,35.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1000rpm__torque_1100Nm__temperature_30degC,validation,-1100.0,1000.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,1000.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_1600Nm__temperature_25degC,validation,-1600.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1000rpm__torque_1700Nm__temperature_25degC,validation,-1700.0,1000.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_0Nm__temperature_35degC,validation,-0.0,1100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_500Nm__temperature_25degC,validation,-500.0,1100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_600Nm__temperature_25degC,validation,-600.0,1100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_600Nm__temperature_30degC,validation,-600.0,1100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_900Nm__temperature_35degC,validation,-900.0,1100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1000Nm__temperature_25degC,validation,-1000.0,1100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,1100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1500Nm__temperature_25degC,validation,-1500.0,1100.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1500Nm__temperature_35degC,validation,-1500.0,1100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1600Nm__temperature_30degC,validation,-1600.0,1100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1800Nm__temperature_30degC,validation,-1800.0,1100.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1100rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,1100.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_0Nm__temperature_35degC,validation,-0.0,1300.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_200Nm__temperature_35degC,validation,-200.0,1300.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_600Nm__temperature_25degC,validation,-600.0,1300.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_800Nm__temperature_25degC,validation,-800.0,1300.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_1200Nm__temperature_30degC,validation,-1200.0,1300.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_1300Nm__temperature_35degC,validation,-1300.0,1300.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1300rpm__torque_1800Nm__temperature_30degC,validation,-1800.0,1300.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_0Nm__temperature_25degC,validation,-0.0,1400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_200Nm__temperature_25degC,validation,-200.0,1400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_300Nm__temperature_30degC,validation,-300.0,1400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_500Nm__temperature_30degC,validation,-500.0,1400.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,1400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1300Nm__temperature_25degC,validation,-1300.0,1400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,1400.0,25.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1400Nm__temperature_35degC,validation,-1400.0,1400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1500Nm__temperature_25degC,validation,-1500.0,1400.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1500Nm__temperature_35degC,validation,-1500.0,1400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1700Nm__temperature_35degC,validation,-1700.0,1400.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1400rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,1400.0,35.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1500rpm__torque_0Nm__temperature_25degC,validation,-0.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_100Nm__temperature_30degC,validation,-100.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_300Nm__temperature_30degC,validation,-300.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_300Nm__temperature_35degC,validation,-300.0,1500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_500Nm__temperature_25degC,validation,-500.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_500Nm__temperature_30degC,validation,-500.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_900Nm__temperature_30degC,validation,-900.0,1500.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1500rpm__torque_900Nm__temperature_35degC,validation,-900.0,1500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1000Nm__temperature_30degC,validation,-1000.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1100Nm__temperature_25degC,validation,-1100.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1100Nm__temperature_35degC,validation,-1100.0,1500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1200Nm__temperature_30degC,validation,-1200.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1300Nm__temperature_25degC,validation,-1300.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1400Nm__temperature_30degC,validation,-1400.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1600Nm__temperature_25degC,validation,-1600.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1600Nm__temperature_30degC,validation,-1600.0,1500.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1700Nm__temperature_25degC,validation,-1700.0,1500.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1700Nm__temperature_30degC,validation,-1700.0,1500.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1800Nm__temperature_30degC,validation,-1800.0,1500.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1500rpm__torque_1800Nm__temperature_35degC,validation,-1800.0,1500.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_200Nm__temperature_30degC,validation,-200.0,1600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_300Nm__temperature_30degC,validation,-300.0,1600.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1600rpm__torque_300Nm__temperature_35degC,validation,-300.0,1600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_400Nm__temperature_25degC,validation,-400.0,1600.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_400Nm__temperature_30degC,validation,-400.0,1600.0,30.0,True,0.18692370374898815,0.18692370374898815,supported_core,True
speed_1600rpm__torque_500Nm__temperature_30degC,validation,-500.0,1600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_500Nm__temperature_35degC,validation,-500.0,1600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_700Nm__temperature_30degC,validation,-700.0,1600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_800Nm__temperature_25degC,validation,-800.0,1600.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_1300Nm__temperature_35degC,validation,-1300.0,1600.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1600rpm__torque_1700Nm__temperature_30degC,validation,-1700.0,1600.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_0Nm__temperature_25degC,validation,-0.0,1700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_200Nm__temperature_25degC,validation,-200.0,1700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_200Nm__temperature_35degC,validation,-200.0,1700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_300Nm__temperature_25degC,validation,-300.0,1700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_300Nm__temperature_35degC,validation,-300.0,1700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_600Nm__temperature_25degC,validation,-600.0,1700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_700Nm__temperature_30degC,validation,-700.0,1700.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_1100Nm__temperature_30degC,validation,-1100.0,1700.0,30.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_1300Nm__temperature_35degC,validation,-1300.0,1700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_1400Nm__temperature_25degC,validation,-1400.0,1700.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1700rpm__torque_1700Nm__temperature_35degC,validation,-1700.0,1700.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1800rpm__torque_0Nm__temperature_25degC,validation,-0.0,1800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1800rpm__torque_0Nm__temperature_35degC,validation,-0.0,1800.0,35.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
speed_1800rpm__torque_200Nm__temperature_25degC,validation,-200.0,1800.0,25.0,True,0.18279263110828364,0.18692370374898815,supported_core,True
